# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,134.5587314000657,0.0,-0.29237570316951383,-3.4202568447358948,0.0,0.0
 0.11425518247293306,0.009790685041442423,0.08569138685469979,0.7499999999999999,134.5587314000657,0.0,-0.29237570316951383,-3.4202568447358948,0.0,0.0
 0.1611486643491103,0.019476669016126654,0.20655288511653244,2.577362427063292,134.39559579926913,0.0,-0.29826701003285844,-3.3527006553283765,-3.4788545074848005,-74.18631264512956
 0.19683784583942426,0.029058853166028714,0.26848988264140106,1.7354558142970662,134.23095463294783,0.0,-0.30426556834106505,-3.2866025737064493,-4.613195356300311,-31.783885240499853
 0.2266807986195026,0.03853813834708162,0.3176389833441951,1.6469248557603697,134.06480401052391,0.0,-0.31037198723758525,-3.221940255950079,-5.567499424347746,-31.977535034149827
 0.2527592398735034,0.047915425006073424,0.3595800288697545,1.6082650460991428,133.8971406955487,0.0,-0.3165867721517401,-3.158691669911906,-6.429192348659979,-33.04234773541296
 0.2761439555900001,0.05719161315666896,0.3966773965976276,1.586393787190786,133.7279621431989,0.0,-0.32291031583191987,-3.0968350993175346,-7.234578106521812,-34.44069056155667
 0.29747291720876756,0.06636760235452072,0.43021265459907615,1.5722874184339444,133.5572665391377,0.0,-0.32934288905003983,-3.036349146278551,-8.002996447375956,-36.02699252728784
 0.3171630320438819,0.07544429167145136,0.4609769619394876,1.5624239674594467,133.3850528398713,0.0,-0.33588463102198757,-2.9772127321137782,-8.746200858071758,-37.74505211977782
 0.33550475340633373,0.08442257966868362,0.4895008390876617,1.5551363246945074,133.21132081450406,0.0,-0.34253553885592525,-2.919405102723115,-9.471958598328824,-39.56868201818817
 0.3527102009092305,0.09330336436907231,0.5161612157366727,1.5495311380027998,133.03607108817158,0.0,-0.3492954573418881,-2.8629058265169665,-10.18571160691899,-41.48412928347242
 0.36894000095472795,0.102087543228356,0.5412376513979688,1.5450859277993905,132.85930518666635,0.0,-0.35616406703499837,-2.807694802917149,-10.891440498940927,-43.4835235211492
 0.3843193344175591,0.11077601310536674,0.5649445015292155,1.5414744851291222,132.68102558300035,0.0,-0.36314087286434465,-2.7537522617938994,-11.592154113625327,-45.562027533760585
 0.39894806718199277,0.11936967023118586,0.5874505511996629,1.538482521545929,132.50123574528206,0.0,-0.3702251918423241,-2.7010587664868897,-12.290185391548,-47.71645563310676
 0.41290743139714514,0.1278694101772411,0.6088916239343544,1.535963415254825,132.31994018620244,0.0,-0.3774161398163295,-2.649595219978278,-12.987379388153798,-49.94453800761342
 0.42626459360712815,0.1362761278222876,0.6293790187532049,1.533813432582144,132.13714451425767,0.0,-0.38471261818589003,-2.5993428671913437,-13.685217643621025,-52.24449957983373
 0.4390758739569422,0.14459071731828946,0.6490053506730532,1.531957102174661,131.95285548640203,0.0,-0.3921132996752364,-2.5502833003324272,-14.38490321213918,-54.61480425165404
 0.45138907394123096,0.15281407205514158,0.6678487109236312,1.5303381959702995,131.76708106257576,0.0,-0.39961661398918624,-2.502398461408965,-15.087420334543586,-57.05398461007651
 0.4632451973116808,0.1609470846242536,0.6859757034396864,1.5289139586076566,131.57983046153288,0.0,-0.40722073208844745,-2.4556706503410592,-15.793577309560224,-59.56052859374424
 0.4746797471712709,0.16899064678093634,0.7034437083622146,1.5276512969050386,131.39111421864536,0.0,-0.41492355081129434,-2.410082527358868,-16.50403778066179,-62.13278876961702
 0.4857237203810375,0.1769456494055973,0.7203026006642301,1.526524193947394,131.2009442451046,0.0,-0.42272267579471345,-2.3656171226679814,-17.21934397419231,-64.76891784724262
 0.4964043814790808,0.18481298246372163,0.7365960763950893,1.5255119117901943,131.00933388888686,0.0,-0.43061540518461344,-2.3222578383401773,-17.939934097604162,-67.46680910452876
 0.506745873148302,0.19259353496462628,0.7523626909705354,1.5245977156633421,130.81629799724104,0.0,-0.4385987113945931,-2.2799884587447687,-18.666155504467486,-70.22404795090956
 0.5167697035997892,0.20028819491896058,0.7676366825610695,1.5237679512294513,130.621852980874,0.0,-0.4466692232122726,-2.23879315617133,-19.398274672352386,-73.0378642603912
 0.5264951399521863,0.20789784929495428,0.7824486326639837,1.5230113658872846,130.426016879638,0.0,-0.4548232066495736,-2.198656500767489,-20.136484795122183,-75.90509011843413
 0.5359395288940738,0.2154233839734014,0.7968260016346952,1.522318601995034,130.22880942982874,0.0,-0.4630565458456404,-2.1595634679427453,-20.88091151505021,-78.8221159154476
 0.5451185604390605,0.22286568370136536,0.8107935669998572,1.521681813239945,130.03025213297818,0.0,-0.47136472310106314,-2.1214994482851757,-21.631617222081644,-81.78484879937557
 0.554046486671287,0.23022563204459762,0.8243737853327662,1.521094370592969,129.83036832612729,0.0,-0.4797427981477199,-2.084450259307666,-22.388604212409355,-84.78866991477491
 0.5627363045437666,0.23750411133868124,0.837587093411287,1.5205506343656559,129.62918325359095,0.0,-0.4881853877878116,-2.0484021542132824,-23.15181692972874,-87.82839048174482
 0.571199909709237,0.24470200263888048,0.8504521606897508,1.5200457756406676,129.42672413990186,0.0,-0.49668664341348184,-2.013341838885568,-23.921143499827163,-90.89821123002139
 0.5794482268143292,0.25182018566870285,0.8629861023926753,1.519575635033045,129.22302026445692,0.0,-0.5052402304795117,-1.9792564797362302,-24.696416596200844,-93.99166963343997
